movie_id,title,release_date,runtime,budget
5,Four Rooms,12/9/1995,98,4000000
11,Star Wars,5/25/1977,121,11000000
12,Finding Nemo,5/30/2003,100,94000000
13,Forrest Gump,7/6/1994,142,55000000
14,American Beauty,9/15/1999,122,15000000
16,Dancer in the Dark,5/17/2000,140,12800000
18,The Fifth Element,5/7/1997,126,90000000
19,Metropolis,1/10/1927,153,92620000
20,My Life Without Me,3/7/2003,106,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,7/9/2003,143,140000000
24,Kill Bill: Vol. 1,10/10/2003,111,30000000
25,Jarhead,11/4/2005,125,72000000
28,Apocalypse Now,8/15/1979,153,31500000
33,Unforgiven,8/7/1992,131,14000000
35,The Simpsons Movie,7/25/2007,87,75000000
38,Eternal Sunshine of the Spotless Mind,3/19/2004,108,20000000
55,Amores perros,6/16/2000,154,2000000
58,Pirates of the Caribbean: Dead Man's Chest,6/20/2006,151,200000000
59,A History of Violence,9/23/2005,96,32000000
62,2001: A Space Odyssey,4/10/1968,149,10500000
65,8 Mile,11/8/2002,110,41000000
66,Absolute Power,2/14/1997,121,50000000
68,Brazil,2/20/1985,132,15000000
69,Walk the Line,9/13/2005,136,28000000
70,Million Dollar Baby,12/15/2004,132,30000000
71,Billy Elliot,5/18/2000,110,5000000
73,American History X,10/30/1998,119,20000000
74,War of the Worlds,6/28/2005,116,132000000
75,Mars Attacks!,12/12/1996,106,70000000
76,Before Sunrise,1/27/1995,105,2500000
77,Memento,10/11/2000,113,9000000
78,Blade Runner,6/25/1982,117,28000000
79,Hero,12/19/2002,99,31000000
80,Before Sunset,2/10/2004,80,2700000
83,Open Water,8/6/2004,79,130000
85,Raiders of the Lost Ark,6/12/1981,115,18000000
87,Indiana Jones and the Temple of Doom,5/23/1984,118,28000000
89,Indiana Jones and the Last Crusade,5/24/1989,127,48000000
90,Beverly Hills Cop,11/29/1984,105,15000000
95,Armageddon,7/1/1998,151,140000000
96,Beverly Hills Cop II,5/18/1987,100,20000000
98,Gladiator,5/1/2000,155,103000000
100,"Lock, Stock and Two Smoking Barrels",3/5/1998,105,1350000
103,Taxi Driver,2/7/1976,114,1300000
104,Run Lola Run,8/20/1998,81,1530000
105,Back to the Future,7/3/1985,116,19000000
106,Predator,6/11/1987,107,18000000
107,Snatch,9/1/2000,103,10000000
111,Scarface,12/8/1983,170,25000000
114,Pretty Woman,3/23/1990,119,14000000
115,The Big Lebowski,3/6/1998,117,15000000
116,Match Point,10/26/2005,124,15000000
117,The Untouchables,6/2/1987,119,25000000
118,Charlie and the Chocolate Factory,7/13/2005,115,150000000
120,The Lord of the Rings: The Fellowship of the Ring,12/18/2001,178,93000000
121,The Lord of the Rings: The Two Towers,12/18/2002,179,79000000
122,The Lord of the Rings: The Return of the King,12/1/2003,201,94000000
128,Princess Mononoke,7/12/1997,134,26500000
129,Spirited Away,7/20/2001,125,15000000
134,"O Brother, Where Art Thou?",8/30/2000,106,26000000
137,Groundhog Day,2/11/1993,101,14600000
141,Donnie Darko,1/18/2001,113,6000000
142,Brokeback Mountain,9/2/2005,134,14000000
146,"Crouching Tiger, Hidden Dragon",10/1/2000,120,17000000
149,Akira,7/16/1988,124,8000000
152,Star Trek: The Motion Picture,12/6/1979,132,35000000
153,Lost in Translation,8/31/2003,102,4000000
154,Star Trek II: The Wrath of Khan,6/3/1982,113,12000000
